;pergunta;resposta
0;Quando a FURIA Esports foi fundada?;"Agosto de 2017"
1;Quem são os fundadores da FURIA Esports?;"Jaime Pádua, André Akkari e Cris Guedes"
2;Qual é a sede principal da FURIA Esports?;"São Paulo, Brasil"
3;Em quais jogos a FURIA possui equipes competitivas?;"Counter-Strike 2, League of Legends, Valorant, Rainbow Six: Siege, Rocket League, Apex Legends e Futebol 7"
4;Qual é o nome completo do jogador 'FalleN' da FURIA?;"Gabriel Toledo de Alcântara Sguario"
5;Qual é o nome completo do jogador 'KSCERATO' da FURIA?;"Kaike Silva Cerato"
6;Qual é o nome completo do jogador 'yuurih' da FURIA?;"Yuri Gomes dos Santos Boian"
7;Qual é o nome completo do jogador 'YEKINDAR' da FURIA?;"Mareks Gaļinskis"
8;Qual é o nome completo do jogador 'molodoy' da FURIA?;"Danil Golubenko"
9;Qual é o nome completo do jogador 'Sidde' da FURIA?;"Sidnei Macedo Pereira Filho"
10;Qual é o nome do treinador principal da equipe de CS2 da FURIA?;"Sidnei Macedo (Sidde)"
11;Quantos torneios a equipe de CS2 da FURIA já participou?;"129 torneios"
12;Qual é o recorde de espectadores da FURIA em um torneio de CS2?;"1.428.993 espectadores no IEM Rio Major 2022"
13;Qual é o valor total em prêmios ganhos pela equipe de CS2 da FURIA?;"$2.283.872"
14;Qual é a posição atual da FURIA no ranking mundial de CS2?;"16ª posição"
15;Em que ano a FURIA entrou no cenário de Valorant?;"2021"
16;Quem são os jogadores atuais da equipe de Valorant da FURIA?;"raafa, heat, havoc, Khalil e pryze"
17;Quem é o treinador principal da equipe de Valorant da FURIA?;"Pedro Lopes (peu)"
18;Em que ano a FURIA entrou no cenário de League of Legends?;"2019"
19;Qual equipe a FURIA adquiriu para entrar no CBLOL?;"Uppercut Esports"
20;Em que ano a FURIA entrou no cenário de Rainbow Six: Siege?;"2020"
21;Quem são os jogadores atuais da equipe de Rainbow Six: Siege da FURIA?;"kheyze, Jv92, FelipoX, HerdsZ e nade"
22;Quem é o treinador principal da equipe de Rainbow Six: Siege da FURIA?;"Igoorctg"
23;Em que ano a FURIA entrou no cenário de Rocket League?;"2021"
24;Qual foi a melhor colocação da FURIA no Rocket League Championship Series?;"3º-4º lugar no Mundial de 2021-22"
25;Em que ano a FURIA entrou no cenário de Apex Legends?;"2021"
26;Qual foi a primeira equipe de Apex Legends contratada pela FURIA?;"2 Brains 1 Controller"
27;Quem são os fundadores da FURIA Esports?;"Jaime Pádua, André Akkari e Cris Guedes"
28;Qual é o nome do CEO da FURIA Esports?;"Jaime Pádua"
29;Quais são os principais patrocinadores da FURIA?;"Cruzeiro do Sul, PokerStars, Red Bull, Hellmann's, Betnacional e Lenovo"
30;Em que ano a FURIA foi eleita a melhor organização de e-sports no Prêmio eSports Brasil?;"2020 e 2021"
31;Qual foi a posição da FURIA no ranking das maiores organizações de e-sports do mundo em 2022?;"5ª posição"
32;Em que ano a FURIA estreou no Futebol 7?;"2024"
33;Quem são os presidentes da equipe de Futebol 7 da FURIA?;"Cris Guedes e Neymar"
34;Em que ano a FURIA anunciou sua entrada na Porsche Cup Brasil?;"2025"
35;Quem são os pilotos da FURIA na Porsche Cup Brasil?;"Caio Castro e Matheus Comparatto"
36;Qual é o nome do site oficial da FURIA?;"https://www.furia.gg/"
37;Qual é o nome do jogador 'heat' da equipe de Valorant da FURIA?;"Olavo Marcelo"
38;Qual é o nome do jogador 'havoc' da equipe de Valorant da FURIA?;"Ilan Eloy"
39;Qual é o nome do jogador 'Khalil' da equipe de Valorant da FURIA?;"Khalil Schmidt"
40;Qual é o nome do jogador 'pryze' da equipe de Valorant da FURIA?;"Luis-Henrique Viveiros"
41;Qual é o nome do jogador 'raafa' da equipe de Valorant da FURIA?;"Rafael Lima"
42;Qual é o nome do jogador 'FelipoX' da equipe de Rainbow Six: Siege da FURIA?;"Felipe De Lucia"
43;Qual é o nome do jogador 'HerdsZ' da equipe de Rainbow Six: Siege da FURIA?;"Gustavo Herdina"
44;Qual é o nome do jogador 'Jv92' da equipe de Rainbow Six: Siege da FURIA?;"João Vitor"
45;Qual é o nome do jogador 'nade' da equipe de Rainbow Six: Siege da FURIA?;"Nome não especificado"
46;Qual é o nome do analista da equipe de Rainbow Six: Siege da FURIA?;"Abreu"
47;Qual é o nome do jogador 'mwzera' da equipe de Valorant da FURIA?;"Leonardo Serrati"
48;Qual é o nome do treinador assistente da equipe de Valorant da FURIA?;"Lucas Soares (lukzera)"
49;Qual foi a primeira equipe de CS:GO da FURIA?;"spacca, prd, guerri, caike e VINI"
50;Qual é o nome do jogador 'Guigo' da equipe de League of Legends da FURIA?;"Guilherme Ruiz"
51;Qual é o nome do jogador 'Tatu' da equipe de League of Legends da FURIA?;"Pedro Seixas"
52;Qual é o nome do jogador 'Tutsz' da equipe de League of Legends da FURIA?;"Arthur Peixoto Machado"
53;Qual é o nome do jogador 'Netuno' da equipe de League of Legends da FURIA?;"Lucas Flores"
54;Qual é o nome do jogador 'JoJo' da equipe de League of Legends da FURIA?;"Gabriel Dzelme"
55;Quem é o treinador principal da equipe de League of Legends da FURIA?;"BeellzY"
56;Qual é o nome do treinador assistente de LoL da FURIA?;"Mit"  
57;Qual foi a melhor colocação da FURIA no CBLOL?;"Top 4 em 2021"
58;Em qual cidade está localizado o QG (quartel general) da FURIA?;"São Paulo"
59;A FURIA possui um centro de treinamento nos Estados Unidos?;"Sim, em Miami"
60;Qual é o lema da FURIA Esports?;"Born to make history"
61;Qual é a cor predominante no uniforme da FURIA?;"Preto"
62;Qual é o mascote da FURIA?;"Pantera"
63;A FURIA tem alguma linha de roupas?;"Sim, a FURIA Wear"
64;Qual é o nome da loja oficial de produtos da FURIA?;"FURIA Store"
65;A FURIA já disputou um Major de CS:GO?;"Sim, vários"
66;Qual foi o melhor resultado da FURIA em um Major de CS:GO?;"Semifinais do IEM Rio Major 2022"
67;Quem foi o primeiro jogador da FURIA a ser indicado ao prêmio de melhor do mundo no CS?;"KSCERATO"
68;Qual é a posição do KSCERATO no ranking HLTV de 2022?;"9º lugar"
69;Quem é o jogador mais antigo da FURIA CS?;"yuurih"
70;Quantos títulos internacionais a FURIA tem no CS?;"Mais de 10 títulos"
71;A FURIA já venceu o ESL Pro League?;"Não, mas chegou aos playoffs"
72;Qual o maior rival da FURIA no CS brasileiro?;"MIBR"
73;A FURIA já venceu a MIBR em um campeonato internacional?;"Sim"
74;Qual foi a primeira vitória da FURIA contra um time Top 5 mundial?;"Contra a Astralis em 2019"
75;Qual é a função de FalleN na equipe de CS2 da FURIA?;"AWPer e In-Game Leader"
76;Quem é o capitão da equipe de CS2 da FURIA?;"FalleN"
77;Em que país a FURIA participou pela primeira vez de um torneio internacional de CS?;"Estados Unidos"
78;Qual o nome do primeiro treinador da equipe de CS da FURIA?;"guerri"
79;Por que guerri deixou de ser treinador da FURIA?;"Suspenso por uso do bug do coach"
80;A FURIA participa da BLAST Premier?;"Sim"
81;A FURIA participa do circuito da ESL Pro Tour?;"Sim"
82;A FURIA possui time feminino?;"Sim, em CS e Valorant"
83;Quem são as jogadoras da equipe feminina de CS da FURIA?;"kaah, bizinha, drn, babi, fer"
84;Quem é a coach da equipe feminina de CS da FURIA?;"ellen"
85;Quem são as jogadoras da equipe feminina de Valorant da FURIA?;"tavinha, isaa, Lissa, dsgn, fra"
86;Qual a função da FURIA Academy?;"Desenvolver novos talentos"
87;Quem é o jogador destaque da FURIA Academy no CS?;"Decenty"
88;A FURIA já lançou documentários?;"Sim, sobre sua história e bastidores"
89;Qual plataforma de streaming a FURIA mais utiliza?;"Twitch"
90;A FURIA já jogou em arenas internacionais?;"Sim, em Katowice, Colônia, Rio de Janeiro e outras"
91;A FURIA já representou o Brasil em mundiais?;"Sim, em várias modalidades"
92;A FURIA tem parceria com organizações internacionais?;"Sim, como com a Team Liquid"
93;A FURIA já recebeu investimento estrangeiro?;"Sim"
94;A FURIA já teve linha de tênis?;"Sim, com a Olympikus"
95;Qual jogador da FURIA participou da Olimpíada de Esports do COI?;"Nenhum até o momento"
96;A FURIA já organizou torneios próprios?;"Sim, como o FURIA X Invitational"
97;A FURIA tem presença nas redes sociais?;"Sim, muito ativa"
98;Quais redes sociais a FURIA utiliza?;"Twitter, Instagram, TikTok, YouTube, Twitch e Facebook"
99;A FURIA já teve jogador suspenso por trapaça?;"Não há registros"
100;A FURIA promove ações sociais?;"Sim, especialmente com jovens carentes"
101;A FURIA apoia causas ambientais?;"Sim, em campanhas de conscientização"
102;A FURIA possui equipe de marketing própria?;"Sim"
103;A FURIA possui sede física?;"Sim, em São Paulo e Miami"
104;A FURIA já participou de documentários na Netflix?;"Não"
105;A FURIA já lançou livros?;"Não"
106;A FURIA já teve time de Free Fire?;"Não oficialmente"
107;A FURIA já teve time de PUBG?;"Sim, no passado"
108;A FURIA já teve time de Fortnite?;"Sim"
109;A FURIA já teve time de Dota 2?;"Não"
110;A FURIA participou da IEM Dallas 2022?;"Sim"
111;A FURIA chegou aos playoffs da IEM Katowice?;"Sim, em 2020"
112;A FURIA venceu o CBCS (CS)?;"Sim, múltiplas vezes"
113;A FURIA já venceu o VCT BR (Valorant)?;"Não"
114;Qual foi o maior feito da FURIA no Valorant até agora?;"Top 12 no VCT Masters"
115;A FURIA já representou o Brasil no Valorant Champions?;"Sim"
116;A FURIA tem canal no YouTube?;"Sim, com conteúdos semanais"
117;A FURIA possui programas de mentoria?;"Sim, para novos talentos"
118;Qual o objetivo da FURIA com o projeto Miami?;"Internacionalização da marca"
119;A FURIA já enfrentou NAVI?;"Sim, em Majors e ESLs"
120;Qual foi a maior série de vitórias da FURIA em CS?;"14 jogos"
121;Quem é responsável pelo setor administrativo da FURIA?;"Jaime Pádua (CEO)"
122;A FURIA já teve patrocínio com marcas de roupa?;"Sim, Puma e FURIA Wear"
123;A FURIA tem parceria com influenciadores?;"Sim"
124;Qual é a identidade visual da FURIA?;"Pantera preta e cores escuras"
125;A FURIA tem canal de cortes?;"Sim, FURIA Clips"
126;A FURIA já teve jogador eleito MVP?;"Sim, yuurih e KSCERATO em alguns torneios"
127;Qual foi o MVP da FURIA na ESL Challenger?;"KSCERATO"
128;Quantos seguidores a FURIA tem no Instagram?;"Mais de 500 mil"
129;Qual foi o primeiro jogo em que a FURIA atuou?;"CS:GO"
130;Em que ano a FURIA migrou de CS:GO para CS2?;"2023"
131;Qual foi a reação da comunidade ao anúncio do FalleN na FURIA?;"Grande repercussão e apoio da torcida"
132;Quem é responsável pelo conteúdo digital da FURIA?;"Equipe interna de marketing"
133;Quais são os objetivos da FURIA em 2025?;"Expandir internacionalmente e buscar títulos em CS2 e Valorant"
134;A FURIA planeja novas modalidades?;"Sim, busca crescer em automobilismo e novas arenas de e-sports"
135;Qual a filosofia de gestão da FURIA?;"Alta performance, inovação e impacto cultural"
136;Quem cuida da performance psicológica dos jogadores?;"Equipe de psicologia esportiva contratada"
137;A FURIA tem psicólogo esportivo?;"Sim"
138;Quantos membros fazem parte do staff da FURIA atualmente?;"Mais de 40"
139;A FURIA está entre as maiores do Brasil?;"Sim, é considerada Top 3"
140;A FURIA já venceu o Red Bull Campus Clutch?;"Não"
141;A FURIA já jogou com a G2 Esports?;"Sim"
142;A FURIA já venceu a Team Liquid?;"Sim, em várias ocasiões"
143;Quantos jogos internacionais a FURIA venceu em 2023?;"Mais de 25"
144;A FURIA já teve jogador estrangeiro?;"Sim, YEKINDAR jogou como stand-in"
145;A FURIA já fez bootcamp na Europa?;"Sim, em 2022 e 2023"
146;Quem é o diretor de operações da FURIA?;"Não divulgado publicamente"
147;A FURIA tem time de base em LoL?;"Sim, FURIA Academy"
148;Quantos títulos a FURIA conquistou no total?;"Mais de 50"
149;Qual é o significado do nome FURIA?;"Força, garra e identidade brasileira no competitivo"
150;A FURIA já competiu em eventos de automobilismo virtual?;"Sim, como na F1 Esports Series"
151;A FURIA já venceu torneios de automobilismo virtual?;"Sim, incluindo eventos do iRacing"
152;Quem representa a FURIA no automobilismo virtual?;"Bruno do Carmo e outros pilotos"
153;A FURIA pretende expandir para esportes tradicionais?;"Ainda não há planos confirmados"
154;A FURIA participa de eventos de cultura pop?;"Sim, como BGS e CCXP"
155;A FURIA possui embaixadores famosos?;"Sim, como Gaules e influenciadores digitais"
156;A FURIA possui sede nos EUA?;"Sim, em Miami"
157;Quantos jogadores compõem a line principal de CS2?;"Cinco jogadores"
158;Quem é o analista de CS2 da FURIA?;"sidde"
159;Quantos jogadores já passaram pela FURIA CS desde sua fundação?;"Mais de 20"
160;A FURIA já teve time de Apex Legends?;"Não oficialmente"
161;Qual é o principal diferencial da FURIA no cenário?;"Identidade forte e presença cultural"
162;Quantas camisas diferentes a FURIA lançou?;"Mais de 10 modelos"
163;Qual a principal cor secundária da FURIA?;"Roxo (em algumas coleções especiais)"
164;A FURIA já usou uniforme branco?;"Sim, em coleções comemorativas"
165;Qual é o nome da série documental sobre a FURIA?;"Born to Make History"
166;A FURIA já teve parceria com marcas de bebida?;"Sim, como Fusion Energy Drink"
167;Qual jogador da FURIA ficou mais tempo na organização?;"yuurih"
168;Qual foi o maior público em jogo presencial da FURIA?;"Mais de 10 mil pessoas no IEM Rio Major"
169;A FURIA já jogou fora do Brasil?;"Sim, em diversos países"
170;A FURIA já teve sede no Rio de Janeiro?;"Não"
171;Quem é o designer responsável pela identidade visual da FURIA?;"Equipe interna de design"
172;Quantos títulos nacionais de CS a FURIA possui?;"Mais de 10"
173;Quantos Majors a FURIA participou?;"6"
174;Qual foi o primeiro Major que a FURIA participou?;"Katowice 2019"
175;A FURIA tem presença em plataformas de podcast?;"Sim, com participações e episódios próprios"
176;A FURIA possui patrocinadores internacionais?;"Sim, como Red Bull e AOC"
177;Quantos idiomas a FURIA usa em suas redes sociais?;"Português e inglês"
178;A FURIA já foi campeã sul-americana?;"Sim, em várias modalidades"
179;Quantos títulos de LoL a FURIA conquistou?;"Nenhum título principal do CBLOL"
180;A FURIA já ficou em último no CBLOL?;"Sim, em algumas etapas"
181;A FURIA teve mudanças recentes no elenco de LoL?;"Sim, entre 2023 e 2024"
182;A FURIA participa de programas de capacitação?;"Sim, especialmente para base"
183;A FURIA investe em tecnologia?;"Sim, com uso de análise de dados e performance"
184;Qual o principal objetivo da FURIA em 2025?;"Conquistar títulos internacionais e consolidar a marca globalmente"
185;Qual é a média de idade dos jogadores da FURIA CS2?;"Entre 21 e 27 anos"
186;A FURIA já jogou contra a FaZe Clan?;"Sim, em diversos torneios"
187;Qual a maior rivalidade da FURIA internacionalmente?;"Team Liquid"
188;Quem são os fundadores da FURIA?;"Jaime Pádua e Andrei 'arT' Piovezan"
189;Quantas vezes a FURIA participou do IEM Cologne?;"Pelo menos 3 vezes"
190;A FURIA já participou da Gamers8?;"Sim"
191;Qual a maior sequência de vitórias da FURIA em um único torneio?;"6 jogos consecutivos"
192;A FURIA já teve parceria com marcas de carro?;"Não"
193;A FURIA tem um aplicativo oficial?;"Não, apenas site e redes"
194;A FURIA já enfrentou times asiáticos?;"Sim, em torneios internacionais"
195;Qual foi o adversário da FURIA na semifinal do IEM Rio Major?;"Heroic"
196;Quem narra os jogos da FURIA nas transmissões brasileiras?;"Diversos narradores, como Gaules"
197;Qual a hashtag usada pela torcida da FURIA?;"#DaleFURIA"
198;A FURIA já teve time de Rainbow Six?;"Sim"
199;Quem é responsável pelas contratações da FURIA?;"Staff executivo e comissão técnica"
200;A FURIA é considerada uma das maiores do mundo?;"Sim, especialmente no CS"